ranking,Flight_date,airline_code,airline_name,avg_dep_delay
1,2010-01-01,CO,Continental Air Lines Inc.,37.3214
2,2010-01-01,B6,JetBlue Airways,18.2917
3,2010-01-01,OO,SkyWest Airlines Inc.,16.8519
4,2010-01-01,MQ,Envoy Air,13.6122
5,2010-01-01,F9,Frontier Airlines Inc.,11.6250
6,2010-01-01,9E,Endeavor Air Inc.,10.6071
7,2010-01-01,AA,American Airlines Inc.,7.8644
8,2010-01-01,FL,AirTran Airways Corporation,7.4000
9,2010-01-01,AS,Alaska Airlines Inc.,6.6154
10,2010-01-01,OH,Comair Inc.,6.0000
11,2010-01-01,WN,Southwest Airlines Co.,5.6484
12,2010-01-01,XE,ExpressJet Airlines Inc. (1),4.9032
13,2010-01-01,DL,Delta Air Lines Inc.,3.6610
14,2010-01-01,YV,Mesa Airlines Inc.,3.4211
15,2010-01-01,UA,United Air Lines Inc.,1.5667
16,2010-01-01,US,US Airways Inc.,-0.2432
17,2010-01-01,EV,ExpressJet Airlines Inc.,-1.0769
18,2010-01-01,HA,Hawaiian Airlines Inc.,-1.6000
1,2010-01-02,B6,JetBlue Airways,55.2500
2,2010-01-02,XE,ExpressJet Airlines Inc. (1),24.3529
3,2010-01-02,WN,Southwest Airlines Co.,23.7117
4,2010-01-02,YV,Mesa Airlines Inc.,19.7778
5,2010-01-02,OO,SkyWest Airlines Inc.,18.5172
6,2010-01-02,CO,Continental Air Lines Inc.,13.7692
7,2010-01-02,FL,AirTran Airways Corporation,12.2308
8,2010-01-02,AA,American Airlines Inc.,11.8833
9,2010-01-02,DL,Delta Air Lines Inc.,11.5385
10,2010-01-02,US,US Airways Inc.,11.3590
11,2010-01-02,F9,Frontier Airlines Inc.,8.5714
12,2010-01-02,MQ,Envoy Air,7.4545
13,2010-01-02,UA,United Air Lines Inc.,6.2564
14,2010-01-02,OH,Comair Inc.,4.9091
15,2010-01-02,9E,Endeavor Air Inc.,2.4828
16,2010-01-02,EV,ExpressJet Airlines Inc.,2.1154
17,2010-01-02,AS,Alaska Airlines Inc.,-1.8462
18,2010-01-02,HA,Hawaiian Airlines Inc.,-2.5000
1,2010-01-03,B6,JetBlue Airways,79.6800
2,2010-01-03,CO,Continental Air Lines Inc.,60.1000
3,2010-01-03,OH,Comair Inc.,51.5714
4,2010-01-03,YV,Mesa Airlines Inc.,33.6667
5,2010-01-03,FL,AirTran Airways Corporation,29.7143
6,2010-01-03,XE,ExpressJet Airlines Inc. (1),28.2500
7,2010-01-03,AA,American Airlines Inc.,26.2692
8,2010-01-03,EV,ExpressJet Airlines Inc.,21.2222
9,2010-01-03,DL,Delta Air Lines Inc.,18.6071
10,2010-01-03,MQ,Envoy Air,18.5833
11,2010-01-03,WN,Southwest Airlines Co.,17.4444
12,2010-01-03,US,US Airways Inc.,13.2432
13,2010-01-03,UA,United Air Lines Inc.,11.9333
14,2010-01-03,F9,Frontier Airlines Inc.,10.6250
15,2010-01-03,9E,Endeavor Air Inc.,8.3235
16,2010-01-03,OO,SkyWest Airlines Inc.,7.7595
17,2010-01-03,HA,Hawaiian Airlines Inc.,2.7778
18,2010-01-03,AS,Alaska Airlines Inc.,-1.9231
1,2010-01-04,CO,Continental Air Lines Inc.,27.1000
2,2010-01-04,OO,SkyWest Airlines Inc.,26.0526
3,2010-01-04,FL,AirTran Airways Corporation,19.5714
4,2010-01-04,MQ,Envoy Air,19.4667
5,2010-01-04,WN,Southwest Airlines Co.,17.5952
6,2010-01-04,XE,ExpressJet Airlines Inc. (1),17.5366
7,2010-01-04,B6,JetBlue Airways,17.4783
8,2010-01-04,YV,Mesa Airlines Inc.,12.9375
9,2010-01-04,DL,Delta Air Lines Inc.,11.8356
10,2010-01-04,OH,Comair Inc.,9.6471
11,2010-01-04,US,US Airways Inc.,9.0870
12,2010-01-04,AA,American Airlines Inc.,8.4262
