ranking,flight_date,airline_code,airline_name,total_flights
1,2010-01-01,WN,Southwest Airlines Co.,91
2,2010-01-01,DL,Delta Air Lines Inc.,59
3,2010-01-01,AA,American Airlines Inc.,59
4,2010-01-01,OO,SkyWest Airlines Inc.,55
5,2010-01-01,MQ,Envoy Air,49
6,2010-01-01,US,US Airways Inc.,42
7,2010-01-01,XE,ExpressJet Airlines Inc. (1),31
8,2010-01-01,UA,United Air Lines Inc.,30
9,2010-01-01,CO,Continental Air Lines Inc.,28
10,2010-01-01,9E,Endeavor Air Inc.,28
11,2010-01-01,FL,AirTran Airways Corporation,26
12,2010-01-01,EV,ExpressJet Airlines Inc.,26
13,2010-01-01,B6,JetBlue Airways,24
14,2010-01-01,YV,Mesa Airlines Inc.,20
15,2010-01-01,AS,Alaska Airlines Inc.,13
16,2010-01-01,OH,Comair Inc.,11
17,2010-01-01,F9,Frontier Airlines Inc.,8
18,2010-01-01,HA,Hawaiian Airlines Inc.,5
1,2010-01-02,WN,Southwest Airlines Co.,112
2,2010-01-02,DL,Delta Air Lines Inc.,78
3,2010-01-02,AA,American Airlines Inc.,60
4,2010-01-02,OO,SkyWest Airlines Inc.,58
5,2010-01-02,MQ,Envoy Air,44
6,2010-01-02,US,US Airways Inc.,39
7,2010-01-02,UA,United Air Lines Inc.,39
8,2010-01-02,XE,ExpressJet Airlines Inc. (1),34
9,2010-01-02,9E,Endeavor Air Inc.,30
10,2010-01-02,FL,AirTran Airways Corporation,26
11,2010-01-02,EV,ExpressJet Airlines Inc.,26
12,2010-01-02,CO,Continental Air Lines Inc.,26
13,2010-01-02,B6,JetBlue Airways,24
14,2010-01-02,YV,Mesa Airlines Inc.,18
15,2010-01-02,OH,Comair Inc.,15
16,2010-01-02,AS,Alaska Airlines Inc.,13
17,2010-01-02,HA,Hawaiian Airlines Inc.,10
18,2010-01-02,F9,Frontier Airlines Inc.,7
1,2010-01-03,WN,Southwest Airlines Co.,126
2,2010-01-03,DL,Delta Air Lines Inc.,87
3,2010-01-03,OO,SkyWest Airlines Inc.,79
4,2010-01-03,AA,American Airlines Inc.,54
5,2010-01-03,MQ,Envoy Air,49
6,2010-01-03,UA,United Air Lines Inc.,45
7,2010-01-03,US,US Airways Inc.,43
8,2010-01-03,XE,ExpressJet Airlines Inc. (1),40
9,2010-01-03,9E,Endeavor Air Inc.,35
10,2010-01-03,CO,Continental Air Lines Inc.,30
11,2010-01-03,FL,AirTran Airways Corporation,28
12,2010-01-03,EV,ExpressJet Airlines Inc.,27
13,2010-01-03,B6,JetBlue Airways,25
14,2010-01-03,YV,Mesa Airlines Inc.,24
15,2010-01-03,OH,Comair Inc.,16
16,2010-01-03,AS,Alaska Airlines Inc.,14
17,2010-01-03,HA,Hawaiian Airlines Inc.,9
18,2010-01-03,F9,Frontier Airlines Inc.,8
1,2010-01-04,WN,Southwest Airlines Co.,127
2,2010-01-04,DL,Delta Air Lines Inc.,73
3,2010-01-04,AA,American Airlines Inc.,61
4,2010-01-04,OO,SkyWest Airlines Inc.,58
5,2010-01-04,US,US Airways Inc.,47
6,2010-01-04,MQ,Envoy Air,46
7,2010-01-04,XE,ExpressJet Airlines Inc. (1),41
8,2010-01-04,UA,United Air Lines Inc.,38
9,2010-01-04,9E,Endeavor Air Inc.,34
10,2010-01-04,EV,ExpressJet Airlines Inc.,33
11,2010-01-04,YV,Mesa Airlines Inc.,32
12,2010-01-04,CO,Continental Air Lines Inc.,30
13,2010-01-04,FL,AirTran Airways Corporation,28
14,2010-01-04,B6,JetBlue Airways,24
15,2010-01-04,OH,Comair Inc.,17
16,2010-01-04,AS,Alaska Airlines Inc.,15
17,2010-01-04,HA,Hawaiian Airlines Inc.,10
18,2010-01-04,F9,Frontier Airlines Inc.,9
1,2010-01-05,WN,Southwest Airlines Co.,126
2,2010-01-05,DL,Delta Air Lines Inc.,75
3,2010-01-05,AA,American Airlines Inc.,59
4,2010-01-05,MQ,Envoy Air,56
5,2010-01-05,OO,SkyWest Airlines Inc.,50
6,2010-01-05,US,US Airways Inc.,43
7,2010-01-05,XE,ExpressJet Airlines Inc. (1),34
8,2010-01-05,UA,United Air Lines Inc.,30
9,2010-01-05,EV,ExpressJet Airlines Inc.,29
10,2010-01-05,9E,Endeavor Air Inc.,28
11,2010-01-05,YV,Mesa Airlines Inc.,27
12,2010-01-05,FL,AirTran Airways Corporation,25
13,2010-01-05,CO,Continental Air Lines Inc.,25
14,2010-01-05,B6,JetBlue Airways,19
15,2010-01-05,OH,Comair Inc.,14
16,2010-01-05,AS,Alaska Airlines Inc.,14
17,2010-01-05,F9,Frontier Airlines Inc.,9
18,2010-01-05,HA,Hawaiian Airlines Inc.,7
1,2010-01-06,WN,Southwest Airlines Co.,127
2,2010-01-06,DL,Delta Air Lines Inc.,77
3,2010-01-06,OO,SkyWest Airlines Inc.,69
4,2010-01-06,MQ,Envoy Air,52
5,2010-01-06,AA,American Airlines Inc.,52
6,2010-01-06,US,US Airways Inc.,47
7,2010-01-06,EV,ExpressJet Airlines Inc.,40
8,2010-01-06,9E,Endeavor Air Inc.,37
9,2010-01-06,XE,ExpressJet Airlines Inc. (1),35
10,2010-01-06,YV,Mesa Airlines Inc.,32
11,2010-01-06,UA,United Air Lines Inc.,31
12,2010-01-06,CO,Continental Air Lines Inc.,25
13,2010-01-06,FL,AirTran Airways Corporation,24
14,2010-01-06,B6,JetBlue Airways,21
15,2010-01-06,OH,Comair Inc.,15
16,2010-01-06,AS,Alaska Airlines Inc.,14
17,2010-01-06,HA,Hawaiian Airlines Inc.,9
