"airport_code","airport_name","airport_city","airport_state"
"ABE","Lehigh Valley International","Allentown","PA"
"ABI","Abilene Regional","Abilene","TX"
"ABQ","Albuquerque International Sunport","Albuquerque","NM"
"ABR","Aberdeen Regional","Aberdeen","SD"
"ABY","Southwest Georgia Regional","Albany","GA"
"ACK","Nantucket Memorial","Nantucket","MA"
"ACT","Waco Regional","Waco","TX"
"ACV","Arcata","Arcata","CA"
"ACY","Atlantic City International","Atlantic City","NJ"
"ADK","Adak","Adak Island","AK"
"ADQ","Kodiak Airport","Kodiak","AK"
"AEX","Alexandria International","Alexandria","LA"
"AGS","Augusta Regional at Bush Field","Augusta","GA"
"AKN","King Salmon Airport","King Salmon","AK"
"ALB","Albany International","Albany","NY"
"ALO","Waterloo Regional","Waterloo","IA"
"AMA","Rick Husband Amarillo International","Amarillo","TX"
"ANC","Ted Stevens Anchorage International","Anchorage","AK"
"ANI","Aniak Airport","Aniak","AK"
"APF","Naples Municipal","Naples","FL"
"APN","Alpena County Regional","Alpena","MI"
"ART","Watertown International","Watertown","NY"
"ASE","Aspen Pitkin County Sardy Field","Aspen","CO"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta","GA"
"ATW","Appleton International","Appleton","WI"
"AUS","Austin - Bergstrom International","Austin","TX"
"AVL","Asheville Regional","Asheville","NC"
"AVP","Wilkes Barre Scranton International","Scranton","PA"
"AZA","Phoenix - Mesa Gateway","Phoenix","AZ"
"AZO","Kalamazoo/Battle Creek International","Kalamazoo","MI"
"BDL","Bradley International","Hartford","CT"
"BET","Bethel Airport","Bethel","AK"
"BFL","Meadows Field","Bakersfield","CA"
"BGM","Greater Binghamton/Edwin A. Link Field","Binghamton","NY"
"BGR","Bangor International","Bangor","ME"
"BHM","Birmingham-Shuttlesworth International","Birmingham","AL"
"BIL","Billings Logan International","Billings","MT"
"BIS","Bismarck Municipal","Bismarck","ND"
"BJI","Bemidji Regional","Bemidji","MN"
"BKG","Branson Airport","Branson","MO"
"BLI","Bellingham International","Bellingham","WA"
"BMI","Central Illinois Regional","Bloomington","IL"
"BNA","Nashville International","Nashville","TN"
"BOI","Boise Air Terminal","Boise","ID"
"BOS","Logan International","Boston","MA"
"BPT","Jack Brooks Regional","Beaumont","TX"
"BQK","Brunswick Golden Isles","Brunswick","GA"
"BQN","Rafael Hernandez","Aguadilla","PR"
"BRD","Brainerd Lakes Regional","Brainerd","MN"
"BRO","Brownsville South Padre Island International","Brownsville","TX"
"BRW","Wiley Post/Will Rogers Memorial","Barrow","AK"
"BTM","Bert Mooney","Butte","MT"
"BTR","Baton Rouge Metropolitan/Ryan Field","Baton Rouge","LA"
"BTV","Burlington International","Burlington","VT"
"BUF","Buffalo Niagara International","Buffalo","NY"
"BUR","Bob Hope","Burbank","CA"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","MD"
"BZN","Bozeman Yellowstone International","Bozeman","MT"
"CAE","Columbia Metropolitan","Columbia","SC"
"CAK","Akron-Canton Regional","Akron","OH"
"CDC","Cedar City Regional","Cedar City","UT"
"CDV","Merle K Mudhole Smith","Cordova","AK"
"CEC","Jack McNamara Field","Crescent City","CA"
"CHA","Lovell Field","Chattanooga","TN"
"CHO","Charlottesville Albemarle","Charlottesville","VA"
"CHS","Charleston AFB/International","Charleston","SC"
"CIC","Chico Municipal","Chico","CA"
"CID","The Eastern Iowa","Cedar Rapids","IA"
"CIU","Chippewa County International","Sault Ste. Marie","MI"
"CLD","McClellan-Palomar","Carlsbad","CA"
"CLE","Cleveland-Hopkins International","Cleveland","OH"
"CLL","Easterwood Field","College Station","TX"
"CLT","Charlotte Douglas International","Charlotte","NC"
"CMH","Port Columbus International","Columbus","OH"
"CMI","University of Illinois/Willard","Champaign","IL"
"CMX","Houghton County Memorial","Hancock","MI"
"CNY","Canyonlands Field","Moab","UT"
"COD","Yellowstone Regional","Cody","WY"
"COS","City of Colorado Springs Municipal","Colorado Springs","CO"
"COU","Columbia Regional","Columbia","MO"
"CPR","Casper/Natrona County International","Casper","WY"
"CRP","Corpus Christi International","Corpus Christi","TX"
"CRW","Yeager","Charleston","WV"
"CSG","Columbus Airport","Columbus","GA"
"CVG","Cincinnati/Northern Kentucky International","Cincinnati","KY"
"CWA","Central Wisconsin","Mosinee","WI"
"CYS","Cheyenne Regional/Jerry Olson Field","Cheyenne","WY"
"DAB","Daytona Beach International","Daytona Beach","FL"
"DAL","Dallas Love Field","Dallas","TX"
"DAY","James M Cox/Dayton International","Dayton","OH"
"DBQ","Dubuque Regional","Dubuque","IA"
"DCA","Ronald Reagan Washington National","Washington","VA"
"DEN","Denver International","Denver","CO"
"DET","Coleman A. Young Municipal","Detroit","MI"
"DFW","Dallas/Fort Worth International","Dallas","TX"
"DHN","Dothan Regional","Dothan","AL"
"DIK","Dickinson - Theodore Roosevelt Regional","Dickinson","ND"
"DLG","Dillingham Airport","Dillingham","AK"
"DLH","Duluth International","Duluth","MN"
"DRO","Durango La Plata County","Durango","CO"
"DRT","Del Rio International","Del Rio","TX"
"DSM","Des Moines International","Des Moines","IA"
"DTW","Detroit Metro Wayne County","Detroit","MI"
"DUT","Unalaska Airport","Unalaska","AK"
"DVL","Devils Lake Regional","Devils Lake","ND"
"EAU","Chippewa Valley Regional","Eau Claire","WI"
"ECP","Northwest Florida Beaches International","Panama City","FL"
"EFD","Ellington","Houston","TX"
"EGE","Eagle County Regional","Eagle","CO"
"EKO","Elko Regional","Elko","NV"
"ELM","Elmira/Corning Regional","Elmira","NY"
